Mapped labels: spam->1, ham->0.
Removed stopwords: english.
Vectorized data with count BoW.

Split data.

Performing a grid hyperparameter search with Stratified K-Fold cross validation
      Iter       Train Loss   Remaining Time 
         1           0.7165           36.04s
         2           0.6792           33.46s
         3           0.6452           36.50s
         4           0.6190           36.37s
         5           0.5966           36.59s
         6           0.5738           36.74s
         7           0.5584           37.40s
         8           0.5408           37.59s
         9           0.5264           38.10s
        10           0.5113           37.79s
        20           0.4151           32.91s
        30           0.3550           28.95s
        40           0.3101           24.43s
        50           0.2798           20.68s
        60           0.2521           16.31s
        70           0.2316           12.15s
        80           0.2127            7.99s
        90           0.1895            3.99s
       100           0.1764            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6628           39.66s
         2           0.6476           49.17s
         3           0.6322           50.27s
         4           0.6191           48.95s
         5           0.6067           46.05s
         6           0.5947           43.99s
         7           0.5839           42.72s
         8           0.5739           41.02s
         9           0.5641           39.99s
        10           0.5566           39.45s
        20           0.4909           34.21s
        30           0.4463           28.71s
        40           0.4135           24.28s
        50           0.3851           19.85s
        60           0.3668           15.46s
        70           0.3528           11.50s
        80           0.3410            7.84s
        90           0.3296            3.89s
       100           0.3203            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6630            3.03m
         2           0.6470            3.59m
         3           0.6342            3.36m
         4           0.6210            3.24m
         5           0.6094            3.24m
         6           0.5987            3.22m
         7           0.5889            3.30m
         8           0.5787            3.48m
         9           0.5706            4.03m
        10           0.5611            3.99m
        20           0.4956            3.63m
        30           0.4495            3.32m
        40           0.4149            3.22m
        50           0.3910            3.11m
        60           0.3694            3.02m
        70           0.3580            2.88m
        80           0.3491            2.79m
        90           0.3371            2.71m
       100           0.3255            2.62m
       200           0.2457            1.93m
       300           0.1892            1.29m
       400           0.1502           38.21s
       500           0.1191            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6321           32.99s
         2           0.5632           34.09s
         3           0.5155           41.45s
         4           0.4853           42.23s
         5           0.4571           39.88s
         6           0.4301           42.30s
         7           0.4097           41.43s
         8           0.3928           39.49s
         9           0.3751           37.97s
        10           0.3601           39.26s
        20           0.2572           35.05s
        30           0.2044           28.76s
        40           0.1519           24.69s
        50           0.1251           20.72s
        60           0.1080           16.76s
        70           0.0949           12.40s
        80           0.0834            8.26s
        90           0.0761            4.07s
       100           0.0698            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6294            7.78m
         2           0.5594            7.21m
         3           0.5171            7.45m
         4           0.4776            7.67m
         5           0.4503            7.82m
         6           0.4233            7.81m
         7           0.4003            8.32m
         8           0.3794            8.64m
         9           0.3631            8.31m
        10           0.3490            8.01m
        20           0.2548            6.72m
        30           0.1927            6.42m
        40           0.1454            6.27m
        50           0.1215            6.06m
        60           0.1044            5.90m
        70           0.0925            5.82m
        80           0.0817            5.73m
        90           0.0750            5.75m
       100           0.0669            5.77m
       200           0.0315            4.98m
       300           0.0174            4.36m
       400           0.0100            3.74m
       500           0.0060            3.15m
       600           0.0036            2.53m
       700           0.0023            1.91m
       800           0.0014            1.27m
       900           0.0009           37.91s
      1000           0.0005            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5638            3.83m
         2           0.4639            3.73m
         3           0.4108            3.70m
         4           0.3592            3.69m
         5           0.3278            3.72m
         6           0.3050            3.61m
         7           0.2841            3.53m
         8           0.2693            3.51m
         9           0.2542            3.44m
        10           0.2388            3.36m
        20           0.1440            3.42m
        30           0.0883            3.43m
        40           0.0575            3.21m
        50           0.0433            3.09m
        60           0.0334            2.94m
        70           0.0261            2.82m
        80           0.0215            2.73m
        90           0.0176            2.66m
       100           0.0152            2.57m
       200           0.0038            2.04m
       300           0.0011            1.31m
       400           0.0003           37.81s
       500           0.0001            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6041           41.68s
         2           0.5556           39.89s
         3           0.5288           37.88s
         4           0.4971           37.85s
         5           0.4769           36.60s
         6           0.4515           37.50s
         7           0.4317           38.33s
         8           0.4206           36.90s
         9           0.4067           36.68s
        10           0.3901           35.81s
        20           0.3334           30.68s
        30           0.2707           28.52s
        40           0.2387           24.94s
        50           0.2174           20.35s
        60           0.1866           15.98s
        70           0.1682           11.74s
        80           0.1443            7.70s
        90           0.1316            3.81s
       100           0.1172            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6040            6.00m
         2           0.5612            8.58m
         3           0.5278            7.85m
         4           0.4953            7.35m
         5           0.4718            7.03m
         6           0.4469            7.66m
         7           0.4311            7.60m
         8           0.4196            7.60m
         9           0.4025            7.55m
        10           0.3941            7.48m
        20           0.3324            7.44m
        30           0.2755            7.37m
        40           0.2350            7.09m
        50           0.2122            6.82m
        60           0.1786            6.54m
        70           0.1604            6.39m
        80           0.1416            6.47m
        90           0.1301            6.29m
       100           0.1129            6.20m
       200           0.0415            5.08m
       300           0.0154            4.29m
       400           0.0061            3.58m
       500           0.0024            2.83m
      Iter       Train Loss   Remaining Time 
         1           0.7154           34.40s
         2           0.6729           32.00s
         3           0.6402           34.20s
         4           0.6134           35.00s
         5           0.5901           35.30s
         6           0.5734           35.53s
         7           0.5519           35.44s
         8           0.5342           35.34s
         9           0.5199           34.76s
        10           0.5054           34.43s
        20           0.4108           33.64s
        30           0.3519           27.67s
        40           0.3079           23.76s
        50           0.2773           19.70s
        60           0.2495           15.85s
        70           0.2265           11.91s
        80           0.2098            7.77s
        90           0.1943            3.90s
       100           0.1746            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6629           55.69s
         2           0.6482           52.32s
         3           0.6327           52.02s
         4           0.6193           51.32s
         5           0.6060           49.14s
         6           0.5952           46.03s
         7           0.5836           44.00s
         8           0.5737           42.37s
         9           0.5642           41.32s
        10           0.5553           39.91s
        20           0.4856           32.65s
        30           0.4375           29.63s
        40           0.4024           25.48s
        50           0.3752           20.43s
        60           0.3565           16.30s
        70           0.3420           12.18s
        80           0.3272            8.30s
        90           0.3175            4.19s
       100           0.3076            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6623            2.69m
         2           0.6457            2.94m
         3           0.6306            3.03m
         4           0.6178            3.41m
         5           0.6065            3.42m
         6           0.5954            3.36m
         7           0.5840            3.36m
         8           0.5750            3.33m
         9           0.5660            3.29m
        10           0.5584            3.39m
        20           0.4898            3.58m
        30           0.4471            3.57m
        40           0.4134            3.42m
        50           0.3863            3.24m
        60           0.3659            3.09m
        70           0.3508            2.95m
        80           0.3388            2.83m
        90           0.3261            2.71m
       100           0.3156            2.61m
       200           0.2293            1.95m
       300           0.1770            1.29m
       400           0.1396           38.51s
       500           0.1112            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6361            4.49m
         2           0.5644            4.28m
         3           0.5131            4.18m
         4           0.4791            4.06m
         5           0.4451            3.90m
         6           0.4166            4.05m
         7           0.3980            4.05m
         8           0.3763            4.16m
         9           0.3611            4.10m
        10           0.3452            4.09m
        20           0.2501            3.43m
        30           0.1894            3.15m
        40           0.1391            2.97m
        50           0.1126            2.88m
        60           0.0928            2.76m
        70           0.0814            2.70m
        80           0.0724            2.63m
        90           0.0657            2.58m
       100           0.0596            2.55m
       200           0.0269            1.96m
       300           0.0150            1.32m
       400           0.0084           39.84s
       500           0.0050            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6376            3.27m
         2           0.6063            3.20m
         3           0.5785            3.13m
         4           0.5549            3.06m
         5           0.5368            3.01m
         6           0.5218            2.99m
         7           0.5037            3.02m
         8           0.4915            3.05m
         9           0.4777            3.12m
        10           0.4652            3.13m
        20           0.3888            3.04m
        30           0.3545            3.04m
        40           0.3196            3.01m
        50           0.2928            3.15m
        60           0.2706            3.09m
        70           0.2572            3.05m
        80           0.2364            3.01m
        90           0.2226            2.96m
       100           0.2078            2.86m
       200           0.1120            2.06m
       300           0.0658            1.38m
       400           0.0397           41.31s
       500           0.0236            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5594            2.73m
         2           0.4508            2.82m
         3           0.3844            2.87m
         4           0.3380            2.78m
         5           0.2989            2.73m
         6           0.2694            2.80m
         7           0.2487            2.79m
         8           0.2351            2.78m
         9           0.2250            2.78m
        10           0.2129            2.76m
        20           0.1182            2.82m
        30           0.0772            3.03m
        40           0.0520            3.17m
        50           0.0392            3.21m
        60           0.0319            3.20m
        70           0.0266            3.15m
        80           0.0222            3.00m
        90           0.0186            2.87m
       100           0.0159            2.77m
       200           0.0035            2.00m
       300           0.0010            1.29m
       400           0.0003           36.85s
       500           0.0001            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6069           28.79s
         2           0.5628           28.93s
         3           0.5296           33.23s
         4           0.5023           32.83s
         5           0.4800           34.65s
         6           0.4603           36.18s
         7           0.4423           37.74s
         8           0.4237           39.75s
         9           0.4097           40.25s
        10           0.3959           40.24s
        20           0.3384           37.56s
        30           0.2848           32.18s
        40           0.2546           26.45s
        50           0.2219           21.79s
        60           0.1911           17.32s
        70           0.1712           12.74s
        80           0.1510            8.37s
        90           0.1364            4.13s
       100           0.1194            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6047            5.41m
         2           0.5648            5.43m
         3           0.5261            5.34m
         4           0.4899            5.44m
         5           0.4676            5.59m
         6           0.4479            5.71m
         7           0.4222            5.79m
         8           0.4045            5.84m
         9           0.3891            5.89m
        10           0.3780            5.88m
        20           0.3270            6.16m
        30           0.2626            5.92m
        40           0.2223            5.78m
        50           0.1941            5.78m
        60           0.1689            5.71m
        70           0.1488            5.78m
        80           0.1335            5.84m
        90           0.1137            5.79m
       100           0.1019            5.72m
       200           0.0326            4.94m
       300           0.0110            4.27m
       400           0.0041            3.61m
       500           0.0016            2.92m
       600           0.0006            2.22m
      Iter       Train Loss   Remaining Time 
         1           0.7204            2.55m
         2           0.6844            3.06m
         3           0.6503            3.10m
         4           0.6253            3.22m
         5           0.6006            3.22m
         6           0.5839            3.30m
         7           0.5660            3.33m
         8           0.5461            3.39m
         9           0.5322            3.40m
        10           0.5193            3.34m
        20           0.4194            3.06m
        30           0.3609            2.95m
        40           0.3193            3.06m
        50           0.2882            3.00m
        60           0.2601            2.92m
        70           0.2396            2.83m
        80           0.2215            2.75m
        90           0.2021            2.71m
       100           0.1812            2.67m
       200           0.1169            2.02m
       300           0.0863            1.31m
       400           0.0664           38.17s
       500           0.0520            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6628            5.58m
         2           0.6476            5.68m
         3           0.6322            5.67m
         4           0.6191            5.80m
         5           0.6067            5.84m
         6           0.5947            5.85m
         7           0.5839            5.94m
         8           0.5739            5.89m
         9           0.5641            5.84m
        10           0.5566            5.83m
        20           0.4909            5.93m
        30           0.4463            6.13m
        40           0.4135            6.12m
        50           0.3851            6.05m
        60           0.3668            5.88m
        70           0.3528            5.85m
        80           0.3410            5.74m
        90           0.3296            5.66m
       100           0.3203            5.62m
       200           0.2358            5.10m
       300           0.1823            4.53m
       400           0.1439            3.88m
       500           0.1136            3.21m
       600           0.0911            2.61m
       700           0.0732            1.96m
       800           0.0594            1.32m
       900           0.0482           39.59s
      1000           0.0394            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6374            5.65m
         2           0.6042            6.35m
         3           0.5762            6.12m
         4           0.5579            5.91m
         5           0.5386            5.86m
         6           0.5235            5.82m
         7           0.5084            6.24m
         8           0.4905            6.47m
         9           0.4768            6.78m
        10           0.4649            6.98m
        20           0.3886            7.47m
        30           0.3497            6.98m
        40           0.3181            6.95m
        50           0.2905            6.58m
        60           0.2680            6.43m
        70           0.2516            6.27m
        80           0.2321            6.29m
        90           0.2155            6.09m
       100           0.2048            5.96m
       200           0.1129            5.08m
       300           0.0651            4.50m
       400           0.0384            3.82m
       500           0.0235            3.26m
       600           0.0144            2.54m
       700           0.0088            1.86m
       800           0.0055            1.23m
       900           0.0034           37.00s
      1000           0.0022            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.7179            3.41m
         2           0.6776            3.61m
         3           0.6492            3.67m
         4           0.6228            3.61m
         5           0.5960            3.59m
         6           0.5749            3.42m
         7           0.5577            3.33m
         8           0.5435            3.26m
         9           0.5279            3.28m
        10           0.5099            3.22m
        20           0.4151            2.92m
        30           0.3543            2.83m
        40           0.3124            2.88m
        50           0.2814            2.89m
        60           0.2577            2.88m
        70           0.2399            2.80m
        80           0.2200            2.72m
        90           0.1987            2.66m
       100           0.1818            2.60m
       200           0.1153            1.90m
       300           0.0846            1.29m
       400           0.0644           38.73s
       500           0.0501            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6630            4.94m
         2           0.6470            5.75m
         3           0.6342            6.02m
         4           0.6210            5.91m
         5           0.6094            6.08m
         6           0.5987            6.20m
         7           0.5889            6.14m
         8           0.5787            6.13m
         9           0.5706            6.05m
        10           0.5611            6.08m
        20           0.4956            6.40m
        30           0.4495            6.60m
        40           0.4149            6.56m
        50           0.3910            6.38m
        60           0.3694            6.24m
        70           0.3580            6.29m
        80           0.3491            6.19m
        90           0.3371            6.03m
       100           0.3255            5.89m
       200           0.2466            5.12m
       300           0.1894            4.54m
       400           0.1494            3.94m
       500           0.1190            3.30m
       600           0.0950            2.65m
       700           0.0766            1.98m
       800           0.0627            1.32m
       900           0.0510           39.31s
      1000           0.0415            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5594           35.36s
         2           0.4508           34.86s
         3           0.3844           36.78s
         4           0.3380           34.99s
         5           0.2989           34.37s
         6           0.2694           33.75s
         7           0.2487           33.66s
         8           0.2351           33.59s
         9           0.2250           33.40s
        10           0.2129           33.07s
        20           0.1166           28.89s
        30           0.0778           25.69s
        40           0.0547           22.45s
        50           0.0424           18.66s
        60           0.0338           14.74s
        70           0.0280           10.97s
        80           0.0243            7.28s
        90           0.0199            3.63s
       100           0.0171            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5676           35.70s
         2           0.4533           34.10s
         3           0.3924           39.53s
         4           0.3478           37.26s
         5           0.3065           35.69s
         6           0.2832           34.52s
         7           0.2652           34.45s
         8           0.2460           33.94s
         9           0.2325           33.15s
        10           0.2218           32.58s
        20           0.1254           28.86s
        30           0.0749           25.24s
        40           0.0531           21.63s
        50           0.0423           17.86s
        60           0.0321           14.34s
        70           0.0266           10.86s
        80           0.0219            7.34s
        90           0.0183            3.73s
       100           0.0147            0.00s
      Iter       Train Loss   Remaining Time 
