Mapped labels: spam->1, ham->0.
Replaced long strings of numbers and dashes with a unique word.
Replaced 5 digit numbers with a unique word.
Replaced monetary amounts with a unique word.
Vectorized data with binary BoW.

Split data.

Performing a grid hyperparameter search with Stratified K-Fold cross validation
      Iter       Train Loss   Remaining Time 
         1           0.6414           28.59s
         2           0.5619           27.90s
         3           0.5067           32.17s
         4           0.4634           34.19s
         5           0.4284           33.53s
         6           0.3993           33.35s
         7           0.3750           32.63s
         8           0.3528           32.30s
         9           0.3344           31.85s
        10           0.3186           31.40s
        20           0.2147           26.29s
        30           0.1660           21.28s
        40           0.1244           17.74s
        50           0.1019           14.57s
        60           0.0886           11.65s
        70           0.0814            8.79s
        80           0.0760            5.87s
        90           0.0721            2.91s
       100           0.0659            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6354           42.97s
         2           0.5944           40.51s
         3           0.5586           37.32s
         4           0.5261           34.95s
         5           0.4979           33.73s
         6           0.4722           32.80s
         7           0.4479           32.07s
         8           0.4273           31.48s
         9           0.4074           31.00s
        10           0.3910           30.57s
        20           0.2930           26.67s
        30           0.2614           22.79s
        40           0.2457           19.57s
        50           0.2301           15.97s
        60           0.2168           12.59s
        70           0.2034            9.31s
        80           0.1935            6.11s
        90           0.1832            3.03s
       100           0.1755            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6361            2.41m
         2           0.5961            2.44m
         3           0.5599            2.56m
         4           0.5284            2.66m
         5           0.4997            2.68m
         6           0.4745            2.65m
         7           0.4525            2.60m
         8           0.4326            2.58m
         9           0.4154            2.58m
        10           0.3996            2.57m
        20           0.3076            2.49m
        30           0.2744            2.43m
        40           0.2610            2.37m
        50           0.2460            2.30m
        60           0.2372            2.23m
        70           0.2249            2.17m
        80           0.2152            2.11m
        90           0.2036            2.05m
       100           0.1946            1.98m
       200           0.1255            1.45m
       300           0.0848           57.73s
       400           0.0575           28.53s
       500           0.0408            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4599           30.77s
         2           0.3733           31.53s
         3           0.3200           31.41s
         4           0.2824           30.69s
         5           0.2559           30.20s
         6           0.2301           30.18s
         7           0.2059           29.97s
         8           0.1924           29.85s
         9           0.1774           29.71s
        10           0.1659           29.46s
        20           0.0818           25.62s
        30           0.0463           22.55s
        40           0.0340           19.17s
        50           0.0257           16.01s
        60           0.0215           12.52s
        70           0.0181            9.17s
        80           0.0155            6.17s
        90           0.0130            3.09s
       100           0.0114            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4609            2.66m
         2           0.3735            2.65m
         3           0.3181            2.64m
         4           0.2791            2.67m
         5           0.2477            2.76m
         6           0.2223            2.75m
         7           0.2027            2.75m
         8           0.1881            2.75m
         9           0.1725            2.73m
        10           0.1606            2.74m
        20           0.0813            2.60m
        30           0.0540            2.50m
        40           0.0394            2.44m
        50           0.0328            2.37m
        60           0.0276            2.34m
        70           0.0241            2.25m
        80           0.0200            2.18m
        90           0.0171            2.11m
       100           0.0150            2.05m
       200           0.0047            1.50m
       300           0.0019           59.68s
       400           0.0008           29.68s
       500           0.0003            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5741           29.30s
         2           0.4962           32.04s
         3           0.4335           37.57s
         4           0.3892           40.03s
         5           0.3547           39.71s
         6           0.3276           39.32s
         7           0.3086           37.19s
         8           0.2919           35.50s
         9           0.2829           34.47s
        10           0.2705           33.44s
        20           0.2355           28.04s
        30           0.2066           23.41s
        40           0.1817           20.19s
        50           0.1544           16.77s
        60           0.1362           13.42s
        70           0.1208           10.05s
        80           0.1078            6.73s
        90           0.0931            3.35s
       100           0.0854            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.5760            2.49m
         2           0.4970            2.46m
         3           0.4392            2.50m
         4           0.3951            2.54m
         5           0.3606            2.54m
         6           0.3350            2.54m
         7           0.3126            2.53m
         8           0.3042            2.65m
         9           0.2915            2.67m
        10           0.2794            2.73m
        20           0.2389            2.89m
        30           0.2085            2.74m
        40           0.1788            2.66m
        50           0.1611            2.62m
        60           0.1431            2.55m
        70           0.1245            2.50m
        80           0.1129            2.42m
        90           0.1011            2.35m
       100           0.0914            2.29m
       200           0.0335            1.69m
       300           0.0135            1.10m
       400           0.0057           32.69s
       500           0.0025            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.3225           27.09s
         2           0.2395           29.89s
         3           0.2019           29.24s
         4           0.1854           29.27s
         5           0.1628           28.91s
         6           0.1530           29.29s
         7           0.1368           29.55s
         8           0.1287           29.10s
         9           0.1153           28.80s
        10           0.1076           28.66s
        20           0.0351           25.77s
        30           0.0158           22.36s
        40           0.0108           19.44s
        50           0.0069           16.25s
        60           0.0046           12.93s
        70           0.0033            9.62s
        80           0.0025            6.37s
        90           0.0019            3.16s
       100           0.0014            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.3027            5.18m
         2           0.2168            5.03m
         3           0.1767            5.15m
         4           0.1538            5.09m
         5           0.1340            5.07m
         6           0.1209            5.07m
         7           0.1051            5.08m
         8           0.0971            5.06m
      Iter       Train Loss   Remaining Time 
         1           0.6401           30.35s
         2           0.5630           30.84s
         3           0.5057           36.52s
         4           0.4630           38.66s
         5           0.4278           38.75s
         6           0.3977           38.11s
         7           0.3728           36.84s
         8           0.3489           35.98s
         9           0.3302           35.65s
        10           0.3127           34.46s
        20           0.2116           27.43s
        30           0.1626           22.05s
        40           0.1319           18.15s
        50           0.1031           14.85s
        60           0.0894           11.85s
        70           0.0811            8.97s
        80           0.0750            5.97s
        90           0.0697            2.96s
       100           0.0666            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6361           37.19s
         2           0.5961           38.39s
         3           0.5599           35.97s
         4           0.5284           34.05s
         5           0.4997           33.25s
         6           0.4745           33.37s
         7           0.4525           32.75s
         8           0.4326           31.99s
         9           0.4154           31.56s
        10           0.3996           31.00s
        20           0.3076           26.57s
        30           0.2744           22.66s
        40           0.2610           19.13s
        50           0.2460           16.06s
        60           0.2372           12.71s
        70           0.2249            9.43s
        80           0.2152            6.19s
        90           0.2036            3.08s
       100           0.1946            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6369            2.89m
         2           0.5978            3.22m
         3           0.5632            3.07m
         4           0.5323            2.97m
         5           0.5051            2.88m
         6           0.4809            2.80m
         7           0.4572            2.76m
         8           0.4377            2.74m
         9           0.4199            2.73m
        10           0.4033            2.73m
        20           0.3073            2.64m
        30           0.2776            2.55m
        40           0.2639            2.48m
        50           0.2481            2.41m
        60           0.2363            2.35m
        70           0.2238            2.29m
        80           0.2127            2.21m
        90           0.2021            2.14m
       100           0.1926            2.08m
       200           0.1227            1.52m
       300           0.0838            1.01m
       400           0.0582           29.71s
       500           0.0420            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.4655           36.30s
         2           0.3819           39.50s
         3           0.3280           37.16s
         4           0.2831           36.43s
         5           0.2550           34.64s
         6           0.2306           33.55s
         7           0.2124           32.74s
         8           0.1972           32.17s
         9           0.1856           31.92s
        10           0.1728           32.49s
        20           0.0950           28.56s
        30           0.0581           24.00s
        40           0.0449           19.38s
        50           0.0358           16.60s
        60           0.0311           13.27s
        70           0.0256           10.02s
        80           0.0221            6.69s
        90           0.0194            3.36s
