Mapped labels: spam->1, ham->0.
Removed stopwords: english.
Vectorized data with TF-IDF.

Split data.

Performing a grid hyperparameter search with Stratified K-Fold cross validation
      Iter       Train Loss   Remaining Time 
         1           0.7185            2.20m
         2           0.6823            2.20m
         3           0.6488            2.35m
         4           0.6234            2.28m
         5           0.5988            2.28m
         6           0.5810            2.31m
         7           0.5641            2.33m
         8           0.5437            2.33m
         9           0.5308            2.29m
        10           0.5163            2.26m
        20           0.4174            2.13m
        30           0.3577            2.09m
        40           0.3160            2.03m
        50           0.2849            1.96m
        60           0.2597            1.91m
        70           0.2401            1.85m
        80           0.2205            1.81m
        90           0.2010            1.75m
       100           0.1796            1.72m
       200           0.1133            1.29m
       300           0.0822           51.40s
       400           0.0616           26.57s
       500           0.0476            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6630            3.80m
         2           0.6470            3.78m
         3           0.6343            4.15m
         4           0.6211            4.11m
         5           0.6096            4.16m
         6           0.5989            4.20m
         7           0.5893            4.46m
         8           0.5792            4.42m
         9           0.5706            4.40m
        10           0.5628            4.37m
        20           0.4948            4.58m
        30           0.4490            4.48m
        40           0.4169            4.35m
        50           0.3908            4.34m
        60           0.3701            4.26m
        70           0.3573            4.19m
        80           0.3481            4.10m
        90           0.3348            4.04m
       100           0.3247            3.99m
       200           0.2433            3.52m
       300           0.1846            3.08m
       400           0.1426            2.64m
       500           0.1118            2.20m
       600           0.0882            1.78m
       700           0.0705            1.33m
       800           0.0563           53.29s
       900           0.0454           26.72s
      1000           0.0363            0.00s
      Iter       Train Loss   Remaining Time 
         1           0.6371            4.73m
         2           0.6035            4.56m
         3           0.5786            4.43m
         4           0.5556            4.34m
         5           0.5352            4.33m
         6           0.5197            4.34m
         7           0.4999            4.32m
         8           0.4882            4.31m
         9           0.4774            4.37m
        10           0.4628            4.56m
        20           0.3873            4.86m
        30           0.3454            4.77m
        40           0.3145            4.68m
        50           0.2866            4.50m
        60           0.2660            4.35m
        70           0.2483            4.24m
        80           0.2229            4.14m
        90           0.2117            4.08m
       100           0.1982            4.04m
       200           0.1027            3.60m
       300           0.0566            3.11m
